Dongxiang,Chinese
chi gao nu?.,你好吗？
gao wo na!.,我很好！
chini beye gao wo nu?.,你身体好吗？
oluna wo.,还可以！
mini beye hende gao wi.,我身体不太好。
echiemaga gao!.,早晨好！
sini gao nu !.,晚上好！
chi ene olon cha ya?gizhu wo?.,你最近忙吗？
bi ya?gizhuwi.,我不太忙。
bi hudu ya?gizhu wo.,我很忙。
bi tani tanisen hudu bayasine.,认识你很高兴。
bi chimade bayasu wo.,谢谢你。
saigala.,再见！
gao huntura!.,晚安！
chini iresende bi bayasine.,欢迎你。
mozhiere lalagan yawu!.,路上慢走。
chi bosi wi we?.,你起床了吗？
bi puse bosizhe irewi.,我还没起床。
bi izhin bosizhe irewe.,我已经起床了。
chi fuzhugu shieyi gao huntura wo?.,你昨晚睡得好吗？
chini nere yan giene?.,你叫什么名字？
mini nere ××giene.,我叫××。
chi yan shingiene?.,你贵姓？(你姓什么？)。
bi x x shin.,我姓××。
chi nere pizhise shin pizhi wo?.,你写名字时写姓吗？
bi shi?pizhi wi.,我不写姓。
bizhien matuma shi? pizhiwo.,我们必须写姓。
tani shi?hala pizhiwo?.,你们把姓写在哪里？
nereni meilie pizhiwo.,写在名字前面。
chini nire shi oru?minzu kielien wo?.,你的名字是本民族语吗？
"pushi,bi kideini kielien niere nairawo.",不是，我是用汉语起的名字。
"oluzhi wo,bi shi oru?minzu kielien niere nairawo.",是的，我是用母语起的名字。
chi shi ali oron kun?.,你是哪里人？
bi shi beizhing kun.,我是北京人。
chini agin shi ula zhiere wainu?.,你家乡在山区吗？
"pushi,mini agin caoyen zhiere waine.",不是，我家乡在草原。
"oluzhi wo,mini gie ula zhiere waine.",是的，我家在山区。
mini gie bazade waine.,我家在城里。
heni gie aginde waine.,他家在乡村。
chi nasun giedun oluwo?.,你多大岁数了？
bi ene hon haran naiman nasun oluwo.,我今年十八岁了。
he puse hudu zhalao.,他还很年轻。
bi yizhin ochiaoluwo.,我已经老了。
chini nasun fudu oluni xiwan gieye.,祝您长寿！
magashi ochiraya!.,明天见！
ene shi chini gie wo?.,这是你家吗？
chini giede giedun kun waine?.,你家有几口人？
giede ada 、ana zhi bi waine.,家里有爸爸、妈妈和我。
chi gayizhiao ochinzhiao wainu?.,你有兄弟姐妹吗？
