Dongxiang,Chinese
Tom Mary se undu wo,汤姆比玛丽高
Ene mutun giese undu,这树比房子高
ada ni kieliesan ni bi man jila wo,爸爸说的我全都记住了
?osun ni achisan kun kharei zhi ire wo,锄草的人回来了
beijing de sao zho,住在北京
tan lienjienzhun de kaihui giedunle echi,你们两点钟都开会去
ene?udu ku?khalun de khalun zhi?bazila dane,今天热，热得受不了了
usu guzhun de khizhewo,水淹没到脖子上来了
ene faku fugie ghura de baodeila osi wo,由于这场大雨麦子长了
usu ghala wagva,用水洗
chi ada lene hhantu yawu,你跟爸爸一起走
Chi ene fudagvun kie,你往这口袋里倒
bijien pizhindu zho,我们正在一起写
hhela sugiendu zho,他们正在吵架
ta uzhendu,你们一起看
ghua nogvei zhaondu zho,两条狗在咬架
Hhela giendu gie,让他们一起做吧
chi hheni xiereigva,你把他弄醒
bi ene jienni gagadene musigvane,我要让哥哥穿那件衣服
Mini ghoni ni abudunugvun le bu hoyigva,别把我的羊和阿布杜的掺和了
"Chi mini naran ulie oroku,ghura ulie oroku,kai ulie oroku gie ni qida olugvawo",你弄坏了我的不进太阳，不漏雨，不进风的房子了
bi ire wo,我来了
bi uzhe wo,我看过了
fuzhugvudu hheni iresende bi budan ijie zho,昨天他来的时候我正在吃饭
bi uzhe ne,我要看
bi mejie ne,我知道呢
ene morei tayi ne,这马踢人
ede bi xin pizhi zho,我现在正在写信
magvashi bi baza echi ne,明天我到城里去
fuzhugvudu bi echisende hhe hhuntura zho,昨天我去的时候他正在睡着
bi kieliezhi??pizhi?baragvawo,我让他写完了
hhela kieliendu zho,他们正谈论着
chi hhelayi iregvandu,你让他们一起来
gaga ganbu wo,哥哥是干部
ula undu wo,山高
fugie shi zhigvon wo,牛是六头
chi gaga dene asa,你问你哥哥
chi xin pizhi,你信写
bi budan ijiewo,我饭吃了
chii magvashi echi,你明天去
xieshiinni shubao,学生的书包
anani oqin,妈妈的女儿
bi ene moreini unu ye,我骑这匹马吧
osunni achisen kun khareizhi irewo,锄草的人回来了
bi sonanba de saozho,我住在锁南坝
chi gaga dene asa,你问你哥哥
chi ene xinni duizhande ogi,你把信给队长
bi dunxian se irewo,我从东乡来
bi dalu mo se echine,我从大路走
ene oqin nogveise ayine,这姑娘怕狗
chi ganbi ghala pizhi,你用钢笔写
chi morei ghala chezi layigva,你用马拉车子
ghoni iman le hhantu osun ijiezho,绵羊和山羊在一起吃草
bi ene mo re echine,我要从这条路上走
bi chima re sana ne ,我要和你算账
bi gagade ne kieliewo,我跟我哥哥说了
chi kon ne wagva,你洗你自己的脚
Chi nudunne hami,你闭上眼睛
Chi khanugvun ne made ogi,你把你自己手里的东西给我
chi mase undu wo,你比我高
bi chase undu wo,我比你高
Hhe kewon echikudeni bengvendede kielie orunde tawun gienan gie,那孩子去的时候跟他嫂子说给我做五个馍馍
Hhela kielie oruntan magvashi baza echine giene,他们说明天我们进城去
Tere yama pushuo,他什么都不是
Tere mini matu giene,他能把我怎么样
Tere shi bijienni yanwo,他是我们的什么人
Ene shi laoshini morei wo,这是老师的马
Ene morei shi laoshinugvun wo,这马是老师的
Ene shi chini kewon nu,这是你的儿子吗
"Mini shu shi hulan wo,chinugvun shi chighan wo",我的书是红色的，你的是白色的
Bi shi onji nugvun,我是汪集人
Chi shi kien wo,你是谁
Chi khala wo,你在哪里
Kien kien man mejiewo,所有人都知道了
Yan yan widagvawo,全部东西都没有了
chi giedu fudu jiesun keroune,你需要多长的绳子
baza echikude mo giedu gholowo,去巴扎多远的路程
chi enefa echise giedu udu de khareizhi irene,你这次去几天能回来
kiegvan bogvon,无论是谁
yagvan bogvon,无论什么
Bi giezhema baza nie echine,我无论何时，一定要到临夏去
Giede kienma waine,屋里肯定有人
Alima dunda niezhan bolusanni waine,果子中个别的已经熟了
Pesezila khala echiwo,其他的人去哪了
Chi pesezi zhanghani khala niugvawo,你把其余的核桃藏哪了
Chi kieliesen morei tasigie kharani enbenu,你说的马，的确是黑的吗
"nie,ghua,ghuran,jieron,tawun",一二三四五
"higvon,dolon,naiman,yesun,hharon",六七八九十
Hharon torunzhun,十个上下
Tawun se ghua,五分之二
Shiliu gie se tawun,十六分之三
chi sao,你坐下
bijien pizhindu zho,我们正在一起写
hhela sugiendu zho,他们正在吵架他们互相骂
ta uzhendu,你们一起看
ghua nogvei zhaondu zho,两条狗在咬架
chi hheni xiereigva,你把他弄醒
bi ene jienni gagadene musigvane,我要让哥哥穿那件衣服
Ene kewaoni nogveide zhaogva wo,这孩子被狗咬了
bi ire wo,我来了
bi uzhe wo,我看过了
Tiigha endegveiliewo,鸡下蛋了
fuzhugvudu mini echisende hhe hhuntura zho,昨天我去的时候他正在睡着
Bi ogvei ku shihoude sai hhunturawo,我在天亮时才睡着了
hhe shi mini gaga wo,他是我的哥哥
hhe mini gaga pushi wo,他不是我的哥哥
Bi yama da ulie keroune,我什么都不要
Kienma ulie pixierene,谁都不信
Giezhe ma da ulie echine,啥时候都不去
he yawu zhi irewo,他走着来了
udu bi chini sana zhi wilazho.xieni bi chini sana zhi zhaojinliezho,白天我想你想得哭，晚上我想你想得做梦
alima bolu zhi irewo,果子成熟了
he kidene waradazhi saozho,他在自己家里叫喊着
bi bosi zhi irewo,我起来了
Chi ene shuni ugvuzhi echi,你把这本书拿去
hhe ire dene made kielie zho,他来了之后对我说
chi ji de echi dene made ghua saochu heiya agi de ire,你到集上之后，买两把扫帚之后来
uzhen uzhen xinie wo,看着看着笑了
"Dai gunzo giekude bi yama gie ulie mejiene,gien gien suruwo",刚工作时我啥也不会做，做着做着学会了
hhe jienshi uzhele echiwo,他看电视去了
"ghura baose,bi ulie echine",要是下雨的话，我就不去了
"Nie chenliese,jiu mejiene",一听就知道
Bi chenliese sudoro kielien kieliezho,我一听，里面在说话
Chi eqiegvan gaodase,愿你早日康复
Bi ghuala nie kielienchese,我想同谈谈
"ghura bao mu, zhasun bao se",将下雨呢，或者要下雪
"chi kielie liaozhe,bi ye ulie chenlie ne",你即使说了我也不听
"Kaihui gie,ulie gie senu baodei xine",无论开不开会，都要拔麦子
"Ene kun no wo,ghura matugie fugiede bao liaozhe nanshi irene",中国人工作积极得很，无论多大雨都按时来
ene kewon sai khareizhi ire senu kijiewo,这孩子才回来就睡了
Kielien da ulie kieliegvane,连话都不让说
Chi giezhe liaozhe irese olune,你无论何时来都行
Kien liaozhe iresenu olune,谁来都行
chi ende sao tala ghazha jiere echi,你在这坐着不如下地去
ene xieni matan hhuntura tala wilie gie ye,今晚咱们工作到睡前吧
"magvashi bi jide echi tala,chi made jien xijie zhi ogi",明天我上集去之前，你把我的衣服缝好
Bi chini khara olutala sagveiwo,我一直等你等到天黑
fuzhugvudu baza echisan kun kharei zhi irewo,昨天进城的人回来了
Ene igva shi hhe gha olugvasan wo,这个碗是他打破的
he kun shi matan de gujin kielie chin kun wo,那人是给我们讲故事的人
Hhe lashigva ijiechin ni wo,他是爱吃面条的人
magvashi kaihui giele echi ku kun shi duizhan wo,明天要去开会的人是队长
fuzhugvudu iresen ni echiwo,昨天来的人走了
ene shi ijieku ni wo,这是吃的东西
chini ugvuzhi iresan ni bi zharu zhi widagvawo,你拿来的东西我用完了
made morei waine,我有马
mini gie ali mien de waine,我的家在哪儿
"chade yang shiqing baise,chi made kielie",你有什么事情的话，你跟我说嘛
"Chi hhende echiku duran bise,echi",你要是想去的话，就去吧
mini kewon de ajiu uwo,我儿子没有舅舅
bi chini baer ni xitu wiwo,我不稀罕你的钱
nainaigie ogi ku duran wiwo,老奶奶不想给
"Hhe usu khalun wainu,uwo",那水热不热
usu wi chin hhe kun ni wijien meilie nie fugie mutun wo,那个没有水吃的人门前有一颗大树
"chi giede wisan ghala,bi chini urule ese irewo",因为你不在家的缘故，我没来叫你
"chi giede wikude,giede chini nie kun irewo",你没在家的时候，你家来了一个人
"bikude bi ye ene giedan wo,wikude ye ene giedan wo",在的时候我是这样做法，不在时我也是这样做法
"kide chezi wichin kun,dunxi layise chijiawo",家里没车子的人，运东西有困难
"Ghoronde nogvei wizhi pese,ghugvei ghulale irese da ulie mejiene",院里要是没有狗的话，要是小偷来偷也不知道
"Chimade yama widene,chi matu giezhi udu dawagvazho",你什么也没有，怎么过日子呢
"Hhe wisenu,wilieni iyan banjine",你即使不在，也照样办事
bi ire wo,我来了
ene chizhe chusun se hulan wo,这花比血还红
Hhe dunxian kun pushuo,他不是东乡人
Ene shi hohodou pushi bikuni bi mejiene,我知道这个不是田鼠
Kunla ene agvinni gonigon giezhi uruzho,人们把这个村子叫做郭泥沟
bi zuoye pizhi zho,我正在写作业
Bi zhin shu uzhezho,我正在看书
Shu uzhe zhi saozho,正在看书
magvashijie ghura bao ne,明天下雨呢
bi agi ye,我要买
chi ijie,你吃吧
chi pizhi sha,你写吧
"Hhe ulie echise,matan uzheye sha",他不去的话，我们去看嘛
"Daigo ghura baone ma,matan qiyinduye sha",马上下雨了，咱们起程吧
hhe echi gie,让他去吧
hhela ijiendu gie,让他们吃吧
hhe ene wilie gie gie,让他做这件事情吧
Bi fuguse fugu gie Chi bu gonji,我死就死吧你别管
Bi echise echi gie,我既然想去就让我去吧
Kewoslane ghujigvan osi gie,祝你们的孩子们快点长大
Bi kunse teiya naiyiwo,我被别人棍打
Ene kewon chanban pipin naiyizho,这孩子常挨批评
bi unba shida ne,我能游泳
bi ire dane,我不能来
he kielie,他说
mejie gva,让某人知道
jien ni musi gva,让某人穿上衣服
chi hhe ojienne made uzhegva,把你的那个东西给我看看
Chi surugvachinni xinla zhi iregva,你把老师请来
sugie ndu,互相骂
echi ndu,一起去
Bi daigo echine,我一会儿就去
ene bierei niende kharala una wo,这个妇女一下子昏倒了
ene kewon udu uduji fugieda wo,这个孩子一天天地长大了
bi fuzhugvudu ogveiku shihoude sai hhuntura wo,我昨天天亮的时候才入睡
Basi munie zhayasabde,老虎刚出世的时候
chi mase undu wo,你比我高
naran sara se fugie wo,太阳比月亮大
Bi chase fugiegvan wo,我比你大一些
Bi chase gouji nie fugiewo,我比你稍微大一点
enedu khalun no,今天很热
hhe undu no,他很高
madage ni bierei chu saigvan wo,马大哥的媳妇最漂亮
zhula mutu xinie wo,像灯一样灭了
usun mutu narun,像毛一样细
"Bi uruwo ma,hhe sonosu dasan mutu gieruzhi echiwo",我喊了他一下，但他好像没听见似的，走过去了
Musiku mutu qimutu ghudun wo,像飞一样快
ene enzhegve lousa chige wo,这个驴子和骡子一样大
chi ire wu dula bi puse ulie echine,因为你来的缘故，我不再去了
oqin ji kewon,女孩和男孩
shire mu diinzi,桌子或凳子
Chi khudogvo mu khaichini agizhi ire,你把刀或剪子拿来
he ese ire ne,他还没来呢
Mini kewon shu ese onshizho,我孩子没读书
bi ulie echi ne,我不想去呢
Lie mejiene,不知道呢
Dogvun wilieni bi ulie giene,坏事我不做
Olu ulie,行不行？行不
Mejienu ulie,知道不知道
bu ayi,不要害怕
bu egvindu,不许打架
bu uzhe,不许看
hhe kun bu echi gie,别让他去了
hhenyi bu orozhi iregva,别让他进来
hhe bu orogie,他别进了
ene morei ni bi unu yan,这马我要骑啊
"hhela meiliedei fa echizhi dawazho,ene fa bi echi lei",他们上次去过了，这次该我去了
Xienda se toreile ire an,有空来玩吧
he ire ne ai,他会来的
chi ire sha,你来啊
chi gao nu,你好吗
chi jiehun gie wo ye,你结婚了没有
chi ire zhi gieru zho sha,你不是来过吗
Chini niere shi ibura wo sha,你的名字是伊布拉吧
Tan man kieliendu zho sha,你们都在说是吧
ana chiyi lai,你妈妈呢
Chi kielie ede,你就说吧
Ene xianzi gundu wo la,这箱子重，是吗
"Ada mini giemere zho ma,ede ire dane",我爸病了嘛，现在不能来
Matan ghuala nie uzheye ma,咱俩看一下嘛
Bi khala ma ulie echine,我哪儿也不去
Hhe iremu,他可能来
Hhe ire damu,他可能不来
"Bi hheni ese egvizho,egvenni egviwo giezhi kunlade gaosu giewo",我没打他，他告诉人们说，我打他了
chi gao la,你好吗
yan gie zho,你现在做什么呢
chi khala sao zho,你住在哪里
lunquen de sao zho,住在龙泉
chi khala olu san,你出生在什么地方
chi khala echi ne,你上哪去啊
bi yama ese gie zho,我什么也没做
bi chi ni sana zho,我想你了
chi mi ni sana zho ye,你想我吗
chi yan ijieku duran,你想吃什么
u lie mejie ne,不知道
Kun wainu uwo,有人没有
Ma,给你
Chi ghudan bu kielie,你别说假话
Bi kijie ne,我要去睡觉了
xiacha gie,加油
bi oliesi zho,我饿了
Made iregva,给我个
ene giedun udu gao la,这几天好吗
"Chi miyi pofan se,bi chiyi nudu ne",你再烦我，我打你呢
"Yawu, egvindule yawu ye",走，打架走
"Ere kunla kielie kayigvase, jieron morei ye handa zho",男人们一言出口，四匹马也不行
"Kun zhiin zhin hunnerei wo, bai bai jiu fugu wida ne",人他妈真奇怪，活着活着就死了
Enbene ba,可能是吧
Bi nie sumula ye,让我想想
Ene dunxi giedun giedun baer echine,这东西多少钱
Matanni agvin kun olon nu,咱们村人口多吗
"Khara olu liaozhe yama guanxi uwo,bi giedene kharei shidane",天黑了也没关系，我也能回去
chi ene kun yale imutu sada wo,你怎么这么粗心
Chi jienzha no,你真聪明
bi gojia giederane shuru zhi aruda wo,我把我的房间打扫干净了
chi ene jien musise jian oluzho,你穿这件衣服正合适
"chi hheni uzhe,oluzhiye",你看那件怎么样
ene fa toreise gao nu? yama gao uwo,这次旅游玩得好吗？真没意思
hhelayi gieni wilie hhe niezhen giezho,他家里的活全都是他一个人干
chi matu gie zemin jiere hu benda ne? chi bu gonji,你怎么随地乱扔东西？你别管
chi kieliesan ojien shi ene enbenu pushuo,你刚才说的东西是不是这个东西
"hhe ede zhin ho kuruzho,chi zuigao shi ede hhende ene shiqin bu kielie",他现在正生气呢，你最好现在别跟他说这事
ene ezegvan baer budan ijie kurudane,这些钱吃饭都不够
hhe kun chi chanla zhi gieru ye,那人你见过吗
"meiliedufa bi hheyi ereisande ,hhe giedene uwo",上次我找他的时候，他不在家
"Naran khizhe wo,zhasun xiaoyiwo",出太阳了，雪化了
"chi made gunzi baer gouji jiayi zhi ogi sha,olu ulie",你再给我工资加点行吗？行
"ene hai gao no a, musi nie uzhe sha",这双鞋真不错，穿上试试吧
Kunla kieliezhi chini bierei saigvan no ya,听说你女朋友特漂亮
Miyi bu bayasugva,别拿我开心了
"yawu ye,ulie yawuse chezi kuche dane",快走吧，不然赶不上车了
"chi xien yawu, bi khuina ireye",你先走，我待会来
chi baer asugvu zhi ogi,你借我点钱吧
yan wo,休想
ifen baer da uwo,一分钱都没有
"jian hhuntura wo,jienhua tunkulie zho",刚睡着，电话响了
ho kurugva zhi imutu uda zhi,真气人，都这么晚了
"jian shouji agiwo,ghugvei ghula wo",刚买手机，贼就偷了
ho kurugvazhi,真气人
bi yale laoshi kieliesanni dunjiere dane,我怎么听不懂老师讲课
"bu jinda,lalagvan ire",别急慢慢来
Chi ede gonhe demu?He zhin dewo,你现在是在广河，还是在和政
"ene tai olon,bi ijie zhi baragva dane",太多了，我吃不完
wijien he chongun gieni ali ezegvan de ne,门和窗子在屋子的什么地方
hheyi bu orozhi iregva,别让他进来
ene chezi benxiaoshi baza kuru shida u lie,这车半小时之内能到巴扎吗
"Chi konne nie dawagva,bi nie dawagvaye ba",你把脚挪一下，我要过去
"niuroumien hoyi baragvawo,wijien khawo",牛肉面卖完了，关门了
"Lichao chenlie se zhunjian giewo,bayasu fiinji irewo,mejieda shuwade anda baowo,jiere doura shuwa duruwo",李超听说中了大奖，高兴得发疯了，一脚踩进烂泥塘里，弄得浑身都是泥
"Bi ingie kieliese,hhe miyi matugiene",我就算这样说了，他又能拿我怎么样
"Hhelayi gie ghudei se gholo wo,nie nie ochise ghuralie usu dayile echine",他们家离水井很远，每次吃水都得三个人一起去打水
"Ghujigvan ijie ya,puse budan binji ne",赶快吃吧，要不然饭该凉了
ghujigvan chezi ire wo.holu a,快点车子来了，快跑啊
"miyi sagvei,miyi hai anda baowo",等等我，我鞋子掉了
bi kieliesan ojien chi agi zhi irewoye,我说的东西你带来了吗
"o,matawo",哦忘了
chi ghujigvan zoyi pizhi baragva,你赶快吧作业做完
"ulie,bi hhechezhi",不行，我累了
"xiacha gie,bosi",打起精神来
"bijien olon ulie agi ne, ghuran agi se jiu kuru wo",我们不多买，买三个就够了
bi giezhe chezini chade huenji ne,我什么时候把车还给你呢
hhe nie zhagvasun giedugundu wo,那条鱼有多重
hheni oloncha bu sagveigva,别让他等得太久了
erli hojide kieliezhi nie tiigvani chinagva wo,尔力叫伙计做了一只鸡
dawu ghulazhi made kieliezho chini jiujiu fuchugvudu chizi kaiyizhi wiliekhirei wo ,达吾悄悄的对我说昨天你弟弟开车出事了
"ene wilieni chi nie udu nie gie xiaoshi giene,mini ghala nie kielienwe",你每天干小时，跟我一样
chi nasun chighan no,你好年轻啊
qinse chi oqiaolu zhiwu,难道你老吗
Kien shi shanxiyuennugvun,有谁是上西园的
kien shanxiyuen de saozho,有谁在上西园住着
"kien hhende taniku kun wine, nie banji ba ",或者那里有认识的人，帮个忙吧
hezhiin de zuiyiku gie weine wu wo?waine shi lienxi nie gie,和政有没有租的房子
