,Dongxiang,POS,ORIGIN,Chinese,English
0,a,Verb,Dongxiang,买,Buy
1,a,Verb,Dongxiang,买,Buy
2,a,Verb,Dongxiang,取,Fetch
3,a,Verb,Dongxiang,取,Fetch
4,a,Verb,Dongxiang,拿,Take
5,a,Verb,Dongxiang,带来,Bring
6,a,Verb,Dongxiang,做完,Completed
7,a,Verb,Dongxiang,做完,Completed
8,a,Verb,Dongxiang,弄完,Finish
9,a,Verb,Dongxiang,完成,Complete
10,a,Noun,Dongxiang,大便,Defecation
11,a,Noun,Dongxiang,脏物,Dirt
12,a,Verb,Dongxiang,拉屎,Defecate
13,aedegie,Verb,Dongxiang,因反感说,Resent
14,agie,Verb,Dongxiang,拉大便,Defecate
15,aba,Noun,Dongxiang,父亲,Father
16,aba,Noun,Dongxiang,父亲,Father
17,aba,Noun,Dongxiang,父亲,Father
18,aba,Noun,Dongxiang,叔叔,Uncle
19,aba,Noun,Dongxiang,叔叔,Uncle
20,abaghurun,Noun,Dongxiang,大拇指,Thumb
21,abaghurun,Noun,Dongxiang,大拇指,Thumb
22,abaghurun,Noun,Dongxiang,大拇指,Thumb
23,abatu,Adjective,Dongxiang,有父亲的,Paternal
24,abatu,Adjective,Dongxiang,有叔叔的,Uncled
25,abei,Noun,Dongxiang,伯父,Uncle
26,abei,Noun,Dongxiang,伯父,Uncle
27,abeiaye,Noun,Dongxiang,祖父的哥哥,Great-uncle
28,abeiaye,Noun,Dongxiang,祖父的哥哥,Great-uncle
29,abeiaye,Noun,Dongxiang,祖父的哥哥,Great-uncle
30,abeibaba,Noun,Dongxiang,伯叔,Uncle
31,abeibaba,Noun,Dongxiang,伯叔,Uncle
32,abeibaba,Noun,Dongxiang,伯叔关系,Unclehood
33,abeibaba,Noun,Dongxiang,伯叔关系,Unclehood
34,abeitu,Adjective,Dongxiang,有伯父的,Uncled
35,abure,Adjective,Dongxiang,可笑的,Ridiculous
36,abure,Adjective,Dongxiang,可鄙的,Contemptible
37,aburesa,Verb,Dongxiang,嫌可笑,Mock
38,aburesa,Verb,Dongxiang,嫌可鄙,Despise
39,abureshi,Verb,Dongxiang,变得可笑,Ridiculize
40,abureshi,Verb,Dongxiang,变得可鄙,Degenerate
41,achan,Noun,Dongxiang,驮子,Backpack
42,achan,Noun,Dongxiang,驮子,Backpack
43,achan,Noun,Dongxiang,担子,Burden
44,achan,Noun,Dongxiang,担子,Burden
45,achan,Noun,Dongxiang,责任,Responsibility
46,achan,Noun,Dongxiang,责任,Responsibility
47,achanachi,Verb,Dongxiang,驮驮子,Carry
48,achanachi,Verb,Dongxiang,挑担子,Shoulder
49,achanachi,Verb,Dongxiang,负责任,Accountable
50,achanbeilie,Verb,Dongxiang,担负责任,Shoulder
51,achanbeilie,Verb,Dongxiang,担负责任,Shoulder
52,achanbeilie,Verb,Dongxiang,负责,Responsible
53,atsanydaru,Verb,Dongxiang,压担子,Shoulder
54,atsanydaru,Verb,Dongxiang,让挑重担,Overburden
55,atsanydaru,Verb,Dongxiang,让挑重担,Overburden
56,achankuru,Verb,Dongxiang,责任过大,Overburdened
57,achankuru,Verb,Dongxiang,包袱过重,Overburdened
58,achantogvu,Verb,Dongxiang,压担子,Shoulder
59,achantogvu,Verb,Dongxiang,让挑重担,Overburden
60,achantogvu,Verb,Dongxiang,让挑重担,Overburden
61,achanxieyi,Verb,Dongxiang,卸担子,Unload
62,achanxieyi,Verb,Dongxiang,卸担子,Unload
63,achanxieyi,Verb,Dongxiang,尽完责任,Fulfill
64,achanxieyi,Verb,Dongxiang,尽完责任,Fulfill
65,achantu,Adjective,Dongxiang,驮东西的,Load-bearing
66,achantu,Adjective,Dongxiang,有重担的,Burdened
67,ache,Verb,Dongxiang,买来,Purchase
